Game,Number,As of,Business model,Release date,Publisher(s),Ref.
CrossFire,1 billion,February 2020,Free-to-play,"May 3, 2007",Smilegate / Tencent,[1]
Dungeon Fighter Online (DFO),700 million,May 2020,Free-to-play,August 2005,Nexon / Tencent,[2]
PlayerUnknown's Battlegrounds (PUBG),600 million[a],December 2019,Pay-to-play/free-to-play,"December 20, 2017",PUBG Corporation / Bluehole,[3]
Pac-Man Doodle,505 million peak daily players[b][a],June 2010,Free-to-play,"May 21, 2010",Namco / Google,[4][5]
QQ Speed,500 million[a],January 2020,Free-to-play,"January 23, 2008",Tencent,[7]
Candy Crush Saga,500 million[a],June 2014,Free-to-play,"April 12, 2012",King,[8]
Tetris,500 million[a],2016,Pay-to-play/free-to-play,"June 6, 1984",Various,[9]
Minecraft,480 million[a],November 2019,Pay-to-play/free-to-play,"November 18, 2011",Mojang,[10]
Microsoft Solitaire,400 million,July 2015,Free-to-play,1990,Microsoft,[11]
Mini World,400 million[a],April 2020,Free-to-play,"December 26, 2015",Miniwan,[12]
Crazyracing Kartrider,380 million registered accounts,May 2020,Free-to-play,"June 1, 2004",Nexon,[2]
Fortnite,350 million registered accounts[a],May 2020,Free-to-play,"September 26, 2017",Epic Games,[13]
Fantasy Westward Journey,310 million registered accounts,April 2015,Free-to-play,December 2001,NetEase,[14]
RuneScape,280 million registered accounts,April 2020,Subscription/free-to-play,"January 4, 2001",Jagex,[15]
Rules of Survival,230 million[a],October 2018,Free-to-play,"November 17, 2017",NetEase,[16]
Dragon Nest,200 million,March 2013,Free-to-play,March 2010,Nexon,[17]
MapleStory,180 million registered accounts,May 2020,Free-to-play,"April 29, 2003",Nexon,[2]
Roblox,164 million peak monthly players,August 2020,Free-to-play,"August 27, 2006",Roblox Corporation,[18]
Animal Jam,160 million,October 2017,Free-to-play,September 2010,Wildworks,[19]
World of Tanks,160 million,April 2020,Free-to-play,"August 12, 2010",Wargaming,[20]
The Legend of Mir 3,120 million registered accounts,February 2012,Subscription,October 2004,WeMade Entertainment,[21]
League of Legends,111 million peak monthly players,August 2018,Free-to-play,"October 27, 2009",Riot Games,[22]
Honor of Kings,100 million daily players,November 2020,Free-to-play,"November 26, 2015",Tencent,[23]
World of Warcraft,100 million registered accounts,January 2014,Subscription/pay-to-play[c],"November 23, 2004",Blizzard Entertainment,[24]
CityVille,100 million[a],October 2011,Free-to-play,"December 2, 2010",Zynga,[25]
Happy Farm,100 million[a],August 2013,Free-to-play,November 2008,5 Minutes,[26]
Scions of Fate,100 million registered accounts,April 2018,Free-to-play,"November 25, 2004",KRG Soft,[27]
The Sims Social,100 million[a],October 2011,Free-to-play,"August 9, 2011",Electronic Arts,[25]
Zhengtu,100 million registered accounts,April 2018,Free-to-play,2007,Zhengtu Network,[28]
Microsoft Solitaire Collection,100 million,August 2016,Free-to-play,"July 29, 2015",Microsoft,[29]
Hearthstone,100 million,November 2018,Free-to-play,"March 11, 2014",Blizzard Entertainment,[30]