Rank,Title,Sales,Platform,Initial release date,Developer,Publisher,Ref.
1,Minecraft,"200,000,000",Multi-platform,"November 18, 2011[b]",Mojang Studios,Mojang Studios,[3]
2,Grand Theft Auto V,"135,000,000",Multi-platform,"September 17, 2013",Rockstar North,Rockstar Games,[4]
3,Tetris (EA),"100,000,000",Mobile,"September 12, 2006",EA Mobile,Electronic Arts,[5]
4,Wii Sports,"82,900,000",Wii,"November 19, 2006",Nintendo EAD,Nintendo,[6]
5,PlayerUnknown's Battlegrounds,"70,000,000",Multi-platform,"December 20, 2017",PUBG Corporation,PUBG Corporation,[7]
6,Super Mario Bros.,"48,240,000",Multi-platform,"September 13, 1985",Nintendo,Nintendo,[c]
7,Pokémon Red / Green / Blue / Yellow,"47,520,000",Multi-platform,"February 27, 1996",Game Freak,Nintendo,[d]
8,Wii Fit and Wii Fit Plus,"43,800,000",Wii,"December 1, 2007",Nintendo EAD,Nintendo,[6]
9,Tetris (Nintendo),"43,000,000",Game Boy / NES,"June 14, 1989",Nintendo R&D1,Nintendo,[e]
10,Pac-Man,"39,098,000",Multi-platform,July 1980,Namco,Namco,[f]
11,Mario Kart 8 / Deluxe,"37,440,000",Wii U / Switch,"May 29, 2014",Nintendo EAD,Nintendo,[g]
12,Mario Kart Wii,"37,380,000",Wii,"April 10, 2008",Nintendo EAD,Nintendo,[6]
13,Wii Sports Resort,"33,140,000",Wii,"June 25, 2009",Nintendo EAD,Nintendo,[6]
14,Red Dead Redemption 2,"32,000,000",Multi-platform,"October 26, 2018",Rockstar Studios,Rockstar Games,[23]
15,New Super Mario Bros.,"30,800,000",Nintendo DS,"May 15, 2006",Nintendo EAD,Nintendo,[24]
16,New Super Mario Bros. Wii,"30,320,000",Wii,"November 11, 2009",Nintendo EAD,Nintendo,[6]
17,Terraria,"30,300,000",Multi-platform,"May 16, 2011",Re-Logic,Re-Logic / 505 Games,[25]
18,Call of Duty: Modern Warfare,"30,000,000",Multi-platform,"October 25, 2019",Infinity Ward,Activision,[26]
19,The Elder Scrolls V: Skyrim,"30,000,000",Multi-platform,"November 11, 2011",Bethesda Game Studios,Bethesda Softworks,[27]
20,Diablo III,"30,000,000",Multi-platform,"May 16, 2012",Blizzard Entertainment,Blizzard Entertainment,[28]
21,Pokémon Gold / Silver / Crystal,"29,490,000",Game Boy Color,"November 21, 1999",Game Freak,Nintendo,[h]
22,Duck Hunt,"28,300,000",NES,"April 21, 1984",Nintendo R&D1,Nintendo,[30]
23,Wii Play,"28,020,000",Wii,"December 2, 2006",Nintendo EAD,Nintendo,[6]
24,The Witcher 3: Wild Hunt,"28,000,000",Multi-platform,"May 19, 2015",CD Projekt Red,CD Projekt,[31][32]
25,Grand Theft Auto: San Andreas,"27,500,000",Multi-platform,"October 26, 2004",Rockstar North,Rockstar Games,[33]
26,Call of Duty: Modern Warfare 3,"26,500,000",Multi-platform,"November 8, 2011",Infinity Ward / Sledgehammer,Activision,[34]
27,Call of Duty: Black Ops,"26,200,000",Multi-platform,"November 9, 2010",Treyarch,Activision,[34]
28,Animal Crossing: New Horizons,"26,040,000",Nintendo Switch,"March 20, 2020",Nintendo EPD,Nintendo,[22]
29,Pokémon Sun / Moon / Ultra Sun / Ultra Moon,"25,090,000",Nintendo 3DS,"November 18, 2016",Game Freak,Nintendo / The Pokémon Company,[i]
30,Grand Theft Auto IV,"25,000,000",Multi-platform,"April 29, 2008",Rockstar North,Rockstar Games,[36]
31,Pokémon Diamond / Pearl / Platinum,"24,730,000",Nintendo DS,"September 28, 2006",Game Freak,Nintendo / The Pokémon Company,[j]
32,Call of Duty: Black Ops II,"24,200,000",Multi-platform,"November 12, 2012",Treyarch,Activision,[34]
33,Kinect Adventures!,"24,000,000",Xbox 360,"November 4, 2010",Good Science Studio,Xbox Game Studios,[38]
34,FIFA 18,"24,000,000",Multi-platform,"September 29, 2017",EA Canada,Electronic Arts,[39]
35,Sonic the Hedgehog,"23,982,960",Multi-platform,"June 23, 1991",Sonic Team,Sega,[k]
36,Nintendogs,"23,960,000",Nintendo DS,"April 21, 2005",Nintendo EAD,Nintendo,[24]
37,Mario Kart DS,"23,600,000",Nintendo DS,"November 14, 2005",Nintendo EAD,Nintendo,[24]
38,Call of Duty: Modern Warfare 2,"22,700,000",Multi-platform,"November 10, 2009",Infinity Ward,Activision,[34]
39,Pokémon Ruby / Sapphire / Emerald,"22,540,000",Game Boy Advance,"November 21, 2002",Game Freak,Nintendo / The Pokémon Company,[l]
40,Borderlands 2,"22,000,000",Multi-platform,"September 18, 2012",Gearbox Software,2K Games,[46]
41,The Legend of Zelda: Breath of the Wild,"21,410,000",Wii U / Switch,"March 3, 2017",Nintendo EPD,Nintendo,[m]
42,Super Smash Bros. Ultimate,"21,110,000",Nintendo Switch,"December 7, 2018",Bandai Namco Studios / Sora Ltd.,Nintendo,[22]
43,Super Mario World,"20,972,500",Multi-platform,"November 21, 1990",Nintendo EAD,Nintendo,[n]
44,Frogger,"20,000,000",Multi-platform,"June 5, 1981",Konami,Sega,[48][49]
45,Lemmings,"20,000,000",Multi-platform,"February 14, 1991",DMA Design,Psygnosis,[50]
46,Grand Theft Auto: Vice City,"20,000,000",Multi-platform,"October 27, 2002",Rockstar North,Rockstar Games,[51]
47,The Last of Us / Remastered,"20,000,000",PS3 / PS4,"June 14, 2013",Naughty Dog,Sony Computer Entertainment,[52]
48,Pokémon Sword / Shield,"19,020,000",Nintendo Switch,"November 15, 2019",Game Freak,Nintendo / The Pokémon Company,[22]
49,Brain Age,"19,010,000",Nintendo DS,"May 19, 2005",Nintendo SPD,Nintendo,[24]
50,Super Mario Bros. 3,"19,000,000",Multi-platform,"October 23, 1988",Nintendo EAD,Nintendo,[o]